Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
100 m,9.58,Usain Bolt,JAM,2009-08-16,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
200 m,19.19,Usain Bolt,JAM,2009-08-20,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
400 m,43.03,Wayde van Niekerk,RSA,2016-08-14,Olympic Games,Rio de Janeiro,BRA,Male,Outdoor,True,Sprint
800 m,1:40.91,David Rudisha,KEN,2012-08-09,Olympic Games,London,GBR,Male,Outdoor,True,Middle Distance
1000 m,2:11.96,Noah Ngeny,KEN,1999-09-05,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Middle Distance
1500 m,3:26.00,Hicham El Guerrouj,MAR,1998-07-14,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile,3:43.13,Hicham El Guerrouj,MAR,1999-07-07,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile (Road),3:56.13,Hobbs Kessler,USA,2023-10-01,World Road Running Championships,Riga,LAT,Male,Outdoor,True,Middle Distance
Mile (Road),3:54.56,Emmanuel Wanyonyi,KEN,2024-04-27,Adizero: Road to Records,Herzogenaurach,GER,Male,Outdoor,True,Middle Distance
2000 m,4:43.13,Jakob Ingebrigtsen,NOR,2023-09-08,Memorial van Damme,Brussels,BEL,Male,Outdoor,True,Middle Distance
3000 m,7:20.67,Daniel Komen,KEN,1996-09-01,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Long Distance
5000 m,12:35.36,Joshua Cheptegei,UGA,2020-08-14,Herculis,Monaco,MON,Male,Outdoor,True,Long Distance
5 km (road),12:49.00,Berihu Aregawi,ETH,2021-12-31,Cursa dels Nassos,Barcelona,ESP,Male,Outdoor,True,Long Distance
"10,000 m",26:11.00,Joshua Cheptegei,UGA,2020-10-07,,Valencia,ESP,Male,Outdoor,True,Long Distance
10 km (road),26:24.00,Rhonex Kipruto,KEN,2020-01-12,10K Valencia Ibercaja,Valencia,ESP,Male,Outdoor,True,Long Distance
Half marathon,57:31.00,Jacob Kiplimo,UGA,2021-11-21,EDP Lisbon Half Marathon,Lisbon,POR,Male,Outdoor,True,Long Distance
One hour (track),"21,330 m",Mo Farah,GBR,2020-09-04,Diamond League,Brussels,BEL,Male,Outdoor,True,Long Distance
Marathon[a],2:00:35,Kelvin Kiptum,KEN,2023-10-08,Chicago Marathon,Chicago,USA,Male,Outdoor,True,Long Distance
