Event,Performance,Athlete,Nationality,Date,Meeting,Location City,Location Country,Gender,Setting,Official,Category
100 m,0 days 00:00:09.580000,Usain Bolt,JAM,2009-08-16,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
200 m,0 days 00:00:19.190000,Usain Bolt,JAM,2009-08-20,World Championships,Berlin,GER,Male,Outdoor,True,Sprint
400 m,0 days 00:00:43.030000,Wayde van Niekerk,RSA,2016-08-14,Olympic Games,Rio de Janeiro,BRA,Male,Outdoor,True,Sprint
800 m,0 days 00:01:40.910000,David Rudisha,KEN,2012-08-09,Olympic Games,London,GBR,Male,Outdoor,True,Middle Distance
1000 m,0 days 00:02:11.960000,Noah Ngeny,KEN,1999-09-05,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Middle Distance
1500 m,0 days 00:03:26,Hicham El Guerrouj,MAR,1998-07-14,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile,0 days 00:03:43.130000,Hicham El Guerrouj,MAR,1999-07-07,Golden Gala,Rome,ITA,Male,Outdoor,True,Middle Distance
Mile (Road),0 days 00:03:56.130000,Hobbs Kessler,USA,2023-10-01,World Road Running Championships,Riga,LAT,Male,Outdoor,True,Middle Distance
Mile (Road),0 days 00:03:54.560000,Emmanuel Wanyonyi,KEN,2024-04-27,Adizero: Road to Records,Herzogenaurach,GER,Male,Outdoor,True,Middle Distance
2000 m,0 days 00:04:43.130000,Jakob Ingebrigtsen,NOR,2023-09-08,Memorial van Damme,Brussels,BEL,Male,Outdoor,True,Middle Distance
3000 m,0 days 00:07:20.670000,Daniel Komen,KEN,1996-09-01,Rieti Meeting,Rieti,ITA,Male,Outdoor,True,Long Distance
5000 m,0 days 00:12:35.360000,Joshua Cheptegei,UGA,2020-08-14,Herculis,Monaco,MON,Male,Outdoor,True,Long Distance
5 km (road),0 days 00:12:49,Berihu Aregawi,ETH,2021-12-31,Cursa dels Nassos,Barcelona,ESP,Male,Outdoor,True,Long Distance
"10,000 m",0 days 00:26:11,Joshua Cheptegei,UGA,2020-10-07,,Valencia,ESP,Male,Outdoor,True,Long Distance
10 km (road),0 days 00:26:24,Rhonex Kipruto,KEN,2020-01-12,10K Valencia Ibercaja,Valencia,ESP,Male,Outdoor,True,Long Distance
Half marathon,0 days 00:57:31,Jacob Kiplimo,UGA,2021-11-21,EDP Lisbon Half Marathon,Lisbon,POR,Male,Outdoor,True,Long Distance
Marathon[a],0 days 02:00:35,Kelvin Kiptum,KEN,2023-10-08,Chicago Marathon,Chicago,USA,Male,Outdoor,True,Long Distance
Marathon[a],0 days 01:59:40.200000,Eliud Kipchoge,KEN,2019-10-12,Ineos 1:59 Challenge,Vienna,AUT,Male,Outdoor,True,Long Distance
50 km (road),0 days 02:38:43,CJ Albertson,USA,2022-10-08,Ruth Anderson Memorial Endurance Run,San Francisco,USA,Male,Outdoor,True,Long Distance
100 km (road),0 days 06:05:35,Aleksandr Sorokin,LTU,2023-05-14,World's Fastest Run,Vilnius,LTU,Male,Outdoor,True,Long Distance
110 m hurdles,0 days 00:00:12.800000,Aries Merritt,USA,2012-09-07,Memorial Van Damme,Brussels,BEL,Male,Outdoor,True,Hurdles
400 m hurdles,0 days 00:00:45.940000,Karsten Warholm,NOR,2021-08-03,Olympic Games,Tokyo,JPN,Male,Outdoor,True,Hurdles
3000 m steeplechase,0 days 00:07:52.110000,Lamecha Girma,ETH,2023-06-09,Meeting de Paris,Paris,FRA,Male,Outdoor,True,Long Distance
"20,000 m walk (track)",0 days 01:17:25.600000,Bernardo Segura,MEX,1994-05-07,,Bergen,NOR,Male,Outdoor,True,Walking
20 km walk (road),0 days 01:16:36,Yusuke Suzuki,JPN,2015-03-15,Asian Race Walking Championships,Nomi,JPN,Male,Outdoor,True,Walking
"30,000 m walk (track)",0 days 02:01:44.100000,Maurizio Damilano,ITA,1992-10-03,,Cuneo,ITA,Male,Outdoor,True,Walking
35 km walk (road),0 days 02:22:00,,,,,,,Male,Outdoor,True,Walking
"50,000 m walk (track)",0 days 03:35:27.200000,Yohann Diniz,FRA,2011-03-12,,Reims,FRA,Male,Outdoor,True,Walking
50 km walk (road),0 days 03:32:33,Yohann Diniz,FRA,2014-08-15,European Championships,Zürich,SUI,Male,Outdoor,True,Walking
4 × 100 m relay,0 days 00:00:36.840000,"Nesta Carter, Michael Frater, Yohan Blake, Usain Bolt",JAM,2012-08-11,Olympic Games,London,GBR,Male,Outdoor,True,Relay
4 × 200 m relay,0 days 00:01:18.630000,"Nickel Ashmeade, Warren Weir, Jermaine Brown, Yohan Blake",JAM,2014-05-24,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
4 × 400 m relay,0 days 00:02:54.290000,"Andrew Valmon, Quincy Watts, Butch Reynolds, Michael Johnson",USA,1993-08-22,World Championships,Stuttgart,GER,Male,Outdoor,True,Relay
4 × 800 m relay,0 days 00:07:02.430000,"Joseph Mutua, William Yiampoy, Ismael Kombich, Wilfred Bungei",KEN,2006-08-25,Memorial Van Damme,Brussels,BEL,Male,Outdoor,True,Relay
Distance medley relay,0 days 00:09:15.500000,"Kyle Merber, Brycen Spratling, Brandon Johnson, Ben Blankenship",USA,2015-05-03,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
Distance medley relay,0 days 00:09:14.580000,"Brannon Kidder, Brandon Miller, Isaiah Harris, Henry Wynne",USA,2024-04-19,Oregon Relays,Eugene,USA,Male,Outdoor,True,Relay
4 × 1500 m relay,0 days 00:14:22.220000,"Collins Cheboi, Silas Kiplagat, James Kiplagat Magut, Asbel Kiprop",KEN,2014-05-25,World Relays,Nassau,BAH,Male,Outdoor,True,Relay
Road relay42.195 km,0 days 01:57:06,"Josephat Ndambiri, Martin Mathathi, Daniel Muchunu Mwangi, Mekubo Mogusu, Onesmus Nyerre, John Kariuki",KEN,2005-11-23,Chiba Ekiden,Chiba,JPN,Male,Outdoor,True,Relay
100 m,0 days 00:00:10.490000,Florence Griffith Joyner,USA,1988-07-16,US Olympic Trials,Indianapolis,USA,Female,Outdoor,True,Sprint
200 m,0 days 00:00:21.340000,Florence Griffith Joyner,USA,1988-09-29,Olympic Games,Seoul,KOR,Female,Outdoor,True,Sprint
400 m,0 days 00:00:47.600000,Marita Koch,GDR,1985-10-06,World Cup,Canberra,AUS,Female,Outdoor,True,Sprint
800 m,0 days 00:01:53.280000,Jarmila Kratochvílová,TCH,1983-07-26,,Munich,FRG,Female,Outdoor,True,Middle Distance
1000 m,0 days 00:02:28.980000,Svetlana Masterkova,RUS,1996-08-23,Memorial Van Damme,Brussels,BEL,Female,Outdoor,True,Middle Distance
1500 m,0 days 00:03:49.110000,Faith Kipyegon,KEN,2023-06-02,Golden Gala,Florence,ITA,Female,Outdoor,True,Middle Distance
Mile,0 days 00:04:07.640000,Faith Kipyegon,KEN,2023-07-21,Herculis,Monaco,MON,Female,Outdoor,True,Middle Distance
Mile (Road),0 days 00:04:20.980000,Diribe Welteji,ETH,2023-10-01,World Road Running Championships,Riga,LAT,Female,Outdoor,True,Middle Distance
2000 m,0 days 00:05:21.560000,Francine Niyonsaba,BDI,2021-09-14,Hanžeković Memorial,Zagreb,CRO,Female,Outdoor,True,Middle Distance
3000 m,0 days 00:08:06.110000,Wang Junxia,CHN,1993-09-13,Chinese National Games,Beijing,CHN,Female,Outdoor,True,Long Distance
5000 m,0 days 00:14:00.210000,Gudaf Tsegay,ETH,2023-09-17,Prefontaine Classic,Eugene,USA,Female,Outdoor,True,Long Distance
5 km (road),0 days 00:14:29,Senbere Teferi,ETH,2021-09-12,5 km Adizero Road to Records,Herzogenaurach,GER,Female,Outdoor,True,Long Distance
5 km (road),0 days 00:14:13,Beatrice Chebet,KEN,2023-12-31,Cursa dels Nassos,Barcelona,ESP,Female,Outdoor,True,Long Distance
5 km (road),0 days 00:14:19,Ejgayehu Taye,ETH,2021-12-31,Cursa dels Nassos,Barcelona,ESP,Female,Outdoor,True,Long Distance
5 km (road),0 days 00:14:13,Agnes Ngetich,KEN,2024-01-14,10K Valencia Ibercaja,Valencia,ESP,Female,Outdoor,True,Long Distance
"10,000 m",0 days 00:29:01.030000,Letesenbet Gidey,ETH,2021-06-08,Ethiopian Olympic Trials,Hengelo,NED,Female,Outdoor,True,Long Distance
10 km (road),,,,,,,,Female,Outdoor,True,Long Distance
10 km (road),0 days 00:28:46,Agnes Ngetich,KEN,2024-01-14,10K Valencia Ibercaja,Valencia,ESP,Female,Outdoor,True,Long Distance
10 km (road),0 days 00:30:01,Agnes Tirop,KEN,2021-09-12,Adizero Road to Records,Herzogenaurach,GER,Female,Outdoor,True,Long Distance
10 km (road),0 days 00:29:26,Agnes Ngetich,KEN,2023-11-18,Urban Trail de Lille,Lille,FRA,Female,Outdoor,True,Long Distance
10 km (road),0 days 00:29:24,Agnes Ngetich,KEN,2023-09-10,Brașov Running Festival,Brașov,ROM,Female,Outdoor,True,Long Distance
10 km (road),0 days 00:29:14,Yalemzerf Yehualaw,ETH,2022-02-27,World Athletics Label road race,Castellón de la Plana,ESP,Female,Outdoor,True,Long Distance
Half marathon,0 days 01:02:52,Letesenbet Gidey,ETH,2021-10-24,Valencia Half Marathon,Valencia,ESP,Female,Outdoor,True,Long Distance
Half marathon,0 days 01:05:16,Peres Jepchirchir,KEN,2020-10-17,World Half Marathon Championships,Gdynia,POL,Female,Outdoor,True,Long Distance
Marathon[a],0 days 02:14:04,Brigid Kosgei,KEN,2019-10-13,Chicago Marathon,Chicago,USA,Female,Outdoor,True,Long Distance
Marathon[a],0 days 02:11:53,Tigst Assefa,ETH,2023-09-24,Berlin Marathon,Berlin,GER,Female,Outdoor,True,Long Distance
Marathon[a],0 days 02:17:01,Mary Jepkosgei Keitany,KEN,2017-04-23,London Marathon,London,GBR,Female,Outdoor,True,Long Distance
